State,Year,Law Passed,Law Description,Law Link,Sentiment,Reasoning,law_text,statenet_url
California,2026,CA SJR 9 - Immigrants in California: Mass Immigration Raids,"California states against of federal immigration raids and use of the military forces, and pledge to protect their immigrant families and workers",https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000SJR9&ciq=ncsl&client_md=f64cc84a8d679eb96ad4397fffdbf4f8&mode=current_text,Pro-Immigration,CA states that their will protect immigrants,"SJR No. 9 CHAPTER 1 Relative to immigration raids. [Approved by Governor January 28, 2026. Filed with Secretary of State January 28, 2026.] LEGISLATIVE COUNSEL'S DIGEST SJR 9, Durazo. Immigrants in California: mass immigration raids. This measure would strongly condemn and denounce mass immigration raids that target immigrant workers and families in California and the engagement of the military in immigration enforcement operations and in response to community protests. This measure would affirm support for safeguarding the rights and safety of all Californians, regardless of immigration status, and support, among other things, the expansion of legal services and emergency response resources to protect workers, children, and families affected by immigration enforcement. Fiscal Committee: NO WHEREAS, California is home to more than 10 million immigrants, the nation's largest by population and proportion, including over 2 million undocumented residents, who enrich our communities, strengthen our economy, and contribute to the cultural and social fabric of the Golden State; and WHEREAS, Immigrants are deeply rooted in our state's communities, families, and workforce, with 45 percent of all children in California having at least one immigrant parent and over 50 percent of all California workers being immigrants or children of immigrants; and WHEREAS, Deporting a parent or family member has serious detrimental impacts on children, affecting 3.3 million mixed-status families in California; and WHEREAS, Latino and Asian families make up some of the largest undocumented groups, with a majority coming from Mexico, Central America, Asia, and South America; and WHEREAS, Deportations tear families apart by separating parents from their children, leaving lasting emotional scars by increasing psychological distress, physical health issues, social isolation, and setbacks in their educational future; and WHEREAS, United States Immigration and Customs Enforcement (ICE) has targeted Home Depot stores, car washes, business vendors, construction sites, and garment factories in predominantly Latino communities; and WHEREAS, United States citizens, based on their skin color and appearance, have been unlawfully harassed, handcuffed, arrested, and deported; and WHEREAS, Since June 6, 2025, ICE, along with armed federal agents, conducted military-style immigration raids and arrests at work sites, homes, and public spaces, creating a climate of fear among immigrants dropping their children off at school, going to work, attending faith services, seeking medical or emergency services, or shopping for essential needs; and WHEREAS, Since June 6, 2025, more than 1,600 people have been arrested in the indiscriminate raids at work sites, homes, and public spaces across the County of Los Angeles and dozens more people have been arrested across the Counties of Orange, Riverside, San Bernardino, and Ventura; and WHEREAS, While conducting immigration raids and arrests, ICE and Customs and Border Protection (CBP) agents sealed off entire streets with the assistance of local law enforcement and the federalized National Guard troops, utilized unmarked armored vehicles, and conducted warrantless raids in a militarized and indiscriminate manner, sparking widespread panic, fear, and terror among immigrant workers, families, and communities; and WHEREAS, The recent immigration raids have been heavily militarized, included the unconstitutional detention and arrest of residents without due process, disproportionately affected communities of color, separated families, undermined public safety and trust in local governments, and deterred families from accessing health care, education, and emergency assistance; and WHEREAS, Members of Congress were denied access to conduct oversight visits at the federal ""B-18"" detention facility and the Adelanto ICE Processing Center to inspect the conditions of detention, despite their right to do so under federal law, and attorneys were repeatedly denied access to people who were arrested during the indiscriminate immigration raids and arrests; and WHEREAS, The unconstitutional immigration raids and arrests quickly prompted tens of thousands of community, labor, and faith protests at multiple locations, including the Edward R. Roybal Federal Building and the City of Paramount, where immigration raids were ongoing; and WHEREAS, The protests were overwhelmingly peaceful, with demonstrators exercising their First Amendment rights to oppose the Trump Administration's mass immigration raids and to stand in solidarity with immigrant families impacted by these federal actions; and WHEREAS, During the course of these protests, Service Employees International Union (SEIU) California President David Huerta was injured, arrested, and detained after federal authorities alleged he was obstructing enforcement activities, while union representatives and community members assert he was wrongfully arrested while lawfully observing law enforcement; and WHEREAS, The immigration raids and arrests consist of potential violations of constitutional rights, including raids and arrests conducted without warrants and using racial profiling; and WHEREAS, Despite clear evidence that local authorities were fully capable of responding to these events, President Trump unilaterally deployed 4,000 California National Guard members and 700 Marines over the objection of California Governor Gavin Newsom, with President Trump's stated intent to crush dissent and further intensify and militarize immigration raids and arrests; and WHEREAS, The federal escalation appears to be part of a deliberate strategy to provoke chaos, suppress and criminalize dissent, and terrorize immigrant communities across California and the nation; and WHEREAS, President Trump's administration has signaled an intention to intensify nationwide immigration raids and arrests, creating an ongoing threat and danger to California families, workplaces, and neighborhoods; and WHEREAS, Multiple elected officials, religious groups, labor unions, and advocacy organizations have denounced the mass immigration raids and pledged to protect and support immigrant communities; and WHEREAS, Immigrants play a vital role in stimulating the economy as workers, business owners, taxpayers, and consumers. Their contributions boost national economic growth and lower the United States deficit; and WHEREAS, Immigrants help power the fourth largest economy in the world, sourcing one-half of a trillion dollars' worth of products, which represents 5 percent of the state's gross domestic product. Immigrants also make up nearly one-half of California's agricultural workers, and fuel key industries like manufacturing, construction, and hospitality; and WHEREAS, California's undocumented immigrants contributed $8.5 billion in state and local taxes in 2022 and play a vital role in stimulating the state's economy; and WHEREAS, On June 12, 2025, President Trump announced that changes were coming and that ""Our great Farmers and people in the Hotel and Leisure business have been stating that our very aggressive policy on immigration is taking very good, longtime workers away from them, with those jobs being almost impossible to replace,"" but on June 16, 2025, the United States Department of Homeland Security and ICE told staff that it must continue to conduct immigration raids at agricultural businesses, hotels, and restaurants, creating a whiplash of confusion that continues to wreak havoc on our economy, agricultural industry, and small businesses; now, therefore, be it Resolved by the Senate and the Assembly of the State of California, jointly, That the Legislature hereby strongly condemns the mass immigration raids, targeting of immigrant workers and families, and the militarized federal response in California. The Legislature denounces President Trump's deployment of military forces to suppress community protests and engage in immigration enforcement operations; and be it further Resolved, That California stands with immigrant families, workers, and community leaders, and will not tolerate the terrorizing of our neighborhoods under the guise of ""enforcement""; and be it further Resolved, That California rejects the criminalization of peaceful protest and reaffirms the constitutional rights of all residents to organize, demonstrate, and demand justice without fear of violent retaliation; and be it further Resolved, That the Legislature affirms its commitment to safeguarding the rights and safety of all Californians, regardless of immigration status, by upholding the fundamental principles of equal treatment, due process, and civil liberties under the law; and be it further Resolved, That the Legislature supports the expansion of legal services and emergency response resources to protect workers, children, and families affected by immigration enforcement; and be it further Resolved, That the Secretary of the Senate transmit copies of this resolution to the President and Vice President of the United States, to the Secretary of State, to the Secretary of the Treasury, to the Speaker of the House of Representatives, to the Majority Leader of the Senate, to each Senator and Representative from California in the Congress of the United States, and to the author for appropriate distribution.",https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000SJR9&ciq=ncsl&mode=current_text
Illinois,2026,IL HR 622 - Federal Agent Excessive and Deadly Force Condemnation,Illinois House talks against of ICE useing deadly force and violence against of immigrants; they formally resequest Homeland Secruity DHS Secretary Kristi Noem for empeachment,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000HR622&ciq=ncsl&client_md=93e026d125ba22f3918b2bc0b644f2cc&mode=current_text,Pro-Immigration,,"HR 0622 HOUSE RESOLUTION WHEREAS, On September 12, 2025, Silverio Villegas Gonzalez was shot and killed by Immigration and Customs Enforcement (ICE) operating in Franklin Park, Illinois; and WHEREAS, On October 4, 2025, Marimar Martinez was shot five times while she was driving to church by Border Patrol agents operating in Chicago, Illinois; agents attempted to justify their shooting by labeling Martinez a ""domestic terrorist"" and claiming she was attempting to use her car to assault agents, charges which federal prosecutors found to be without merit; instead, body camera footage showed agents holding Martinez at gunpoint, stating ""Do something"", and calling her a profane name before opening fire; and WHEREAS, On October 17, 2025, Philip Brown was shot and injured by a Homeland Security Investigations agent operating in Washington, D.C., claiming Brown was attempting to flee a traffic stop, a charge which a judge found to be without merit; and WHEREAS, On October 21, 2025, Carlitos Richard Parias was shot and wounded by an ICE agent in Los Angeles, California; agents justified the shooting by claiming Parias was attempting to use his car to assault agents, a charge which a judge dismissed; and WHEREAS, On October 29, 2025, Jose Garcia-Sorto was shot and injured by an ICE agent operating in Phoenix, Arizona, claiming Garcia-Sorto was attempting to flee a traffic stop; and WHEREAS, On October 30, 2025, Carlos Jimenez was shot and injured by an ICE agent operating in Ontario, California, claiming that Jimenez was attempting to use his car to assault officers; and WHEREAS, On November 13, 2025, Justin Bryant Nelson was shot at by a Homeland Security Investigations agent operating in Washington, D.C., claiming Nelson ran a red light; and WHEREAS, On December 11, 2025, an unidentified man was shot and killed by a Border Patrol agent operating in Rio Grande City, Texas, claiming the man was wearing camouflage clothing and attempted to flee from agents; and WHEREAS, On December 24, 2025, Tiago Alexandre Sousa-Martins and Solomon Antonio Serrano-Esquivel were shot at by an ICE agent operating in Glen Burnie, Maryland, claiming Sousa-Martins was attempting to use his car to assault officers; and WHEREAS, On January 7, 2026, Renee Nicole Good was shot and killed by an ICE agent operating in St. Paul, Minnesota; while Department of Homeland Security Secretary Kristi Noem rushed to defame Good as a ""domestic terrorist"" and claimed she was attempting to assault agents with her car, footage from agents' cameras and from bystanders showed Good calmly telling agents, ""That's fine, dude. I'm not mad at you"", before trying to navigate away from the situation; footage then showed an agent shooting Good three times and calling her profane names; and WHEREAS, On January 8, 2026, Luis David Nico Moncada and Yorlenys Betzabeth Zambrano-Contreras were shot by a Customs and Border Patrol agent operating in Portland, Oregon, claiming Moncada was attempting to use his car to assault officers; and WHEREAS, On January 14, 2026, Julio Cesar Sosa-Celis was shot and injured by an ICE agent operating in Minneapolis, Minnesota, claiming Sosa-Celis was resisting arrest; and WHEREAS, These victims of President Donald J. Trump and Homeland Security Secretary Kristi Noem's brutal and lawless raids have been lifelong citizens, new Americans living peacefully and legally under visas, and immigrants alike; none were given a chance to prove their citizenship, none were given a background check to prove they were law-abiding citizens, and none were offered due process before they were shot; and WHEREAS, These alleged murders and shootings, many conducted in broad daylight and in full view of the public, are just the most visible abuses perpetrated as part of the Trump-Noem raids; the Project on Government Oversight found that within ICE detention centers, which the Trump Administration refuses to open to even the most basic oversight, 32 people died in ICE custody in 2025; and WHEREAS, Every American citizen, every legal immigrant, every asylum seeker, and every undocumented person is entitled to the basic right of due process under the United States Constitution, and every detention, every abuse, and every murder is the responsibility of President Donald Trump and Secretary Kristi Noem; and WHEREAS, The willingness of Secretary Noem and the agents under her command to defame the victims and rationalize deadly force with a boilerplate narrative that has frequently failed to stand up to basic scrutiny is an alarm to every American; therefore, be it RESOLVED, BY THE HOUSE OF REPRESENTATIVES OF THE ONE HUNDRED FOURTH GENERAL ASSEMBLY OF THE STATE OF ILLINOIS, that we condemn the acts of excessive and deadly force deployed by federal agents of Immigration and Customs Enforcement (ICE), Customs and Border Patrol, Homeland Security Investigations, and others operating under the direction of President Donald J. Trump and Department of Homeland Security Secretary Kristi Noem; and be it further RESOLVED, That we call for a fully independent investigation into all Department of Homeland Security-involved shootings, killings, and deaths in custody, and we call for the appointment of an independent counsel to prosecute agents, administrators, and political appointees found to have committed, directed, or covered up these acts of violence; and be it further RESOLVED, That we call for the immediate resignation of Secretary Kristi Noem, and we call for her immediate impeachment if she refuses to resign.",https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000HR622&ciq=ncsl&mode=current_text
Illinois,2025,IL HR 504 - Fair Judicial System,"Reaffirms due process rights, condemns racial profiling and violent tactics by immigration enforcement, condemns Trump Administration actions.",https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,,"HR 0504 HOUSE RESOLUTION WHEREAS, Due process is what separates lawful detention from kidnapping; and WHEREAS, The United States Constitution is unequivocal in that no person shall be deprived of life, liberty, or property without due process of law; and WHEREAS, Donald Trump's so-called Operation Midway Blitz has been a systematic and pervasive assault on this bedrock principle of our American justice system; and WHEREAS, Trust is the foundation of safety; at a time when people desperately want to trust their local police, masked agents are marching through Illinois streets and disrupting communities absent of any identification, such as a uniform, badge number, or official identification card to verify their identity; and WHEREAS, Donald Trump's agents have admittedly detained people ""based on their physical appearance"", effectively establishing a race-based ""stop and frisk"" policy; and WHEREAS, Because of Donald Trump and his agents, minors have been ripped from their homes and separated from their parents, including a raid where children were restrained in zip ties; and WHEREAS, Donald Trump's agents handcuffed and detained Alderperson Jesse Fuentes simply for asking whether the agents had a signed judicial warrant to detain a patient being treated in an Illinois hospital; and WHEREAS, Donald Trump's federal agents battered down doors, aggressively interrogated residents of all backgrounds, and caused serious damage to people's private dwellings at an apartment complex in South Shore; and WHEREAS, Donald Trump's federal agents erected a fence blocking a public street in Broadview, making no effort to go through the village's proper permitting process and with no concern for how their blockade obstructed fire fighters, local police, and emergency medical responders; and WHEREAS, Donald Trump's federal agents have spread fear and violence, initiating stops that have resulted in people being shot and killed; and WHEREAS, At practically every step, courts have tried to hold the Trump Administration accountable to the rule of law, only to have the administration delay, ignore court orders, and continue to disregard the people's right to due process; therefore, be it RESOLVED, BY THE HOUSE OF REPRESENTATIVES OF THE ONE HUNDRED FOURTH GENERAL ASSEMBLY OF THE STATE OF ILLINOIS, that we reaffirm the right to due process as the bedrock of a fair judicial system; and be it further RESOLVED, That we condemn racial profiling and the violent tactics that are eroding trust in all of law enforcement; and be it further RESOLVED, That we condemn the lawless actions of the Trump Administration that have defied local and constitutional laws and denied people of all types of immigration status their rights to due process.",https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000HR504&ciq=ncsl&mode=current_text
